System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
11:24:09:805, 11052200860319,    2.837,    2.000,  800,  12.058,  47.325,  13.146,   1.108,  16.218,   4.505, 34,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:09:915, 11052595660577,    2.947,    1.000,  800,  11.919,  48.632,  13.509,   1.071,  16.335,   4.538, 34,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:020, 11052974094017,    3.052,    2.000,  800,  12.081,  49.902,  13.862,   1.052,  16.446,   4.568, 34,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:131, 11053375212907,    3.164,    9.000, 4700,  40.939,  54.464,  15.129,  29.854,  19.772,   5.492, 41,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:243, 11053777661629,    3.275,    8.000, 4700,  46.886,  59.705,  16.585,  35.739,  23.768,   6.602, 43,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:348, 11054154898962,    3.380,    9.000, 4900,  46.054,  64.531,  17.925,  35.068,  27.442,   7.623, 46,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:461, 11054561467403,    3.493,    7.000, 4700,  44.901,  69.602,  19.334,  33.774,  31.257,   8.682, 48,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:569, 11054951083756,    3.601,    9.000, 4900,  48.024,  74.799,  20.778,  36.844,  35.244,   9.790, 54,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:678, 11055342720763,    3.710,    7.000, 4700,  44.555,  79.646,  22.124,  33.566,  38.896,  10.804, 42,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:788, 11055738838941,    3.820,    7.000, 4900,  46.031,  84.711,  23.531,  34.890,  42.735,  11.871, 50,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:10:895, 11056124118481,    3.927,    7.000, 4700,  46.309,  89.667,  24.908,  35.155,  46.497,  12.916, 49,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
11:24:11:009, 11056534459283,    4.041,    8.000, 4900,  46.924,  95.016,  26.393,  35.834,  50.582,  14.050, 48,  0,   0.000,   0.000,   0.000,4095.875,4095.875,   0.000,   0.000,   0.000
